,Expert,Mean Expert Reward,Mean Model Reward,Std Dev Expert Reward,Std Dev Model Reward
0,Ant-v2,4816.537239794357,4768.424143776178,103.1195064756689,98.73359478432678
1,HalfCheetah-v2,4116.329495545818,4085.9246541580987,83.11733171773278,71.79572929456835
2,Hopper-v2,3778.5438030968635,3778.1529409549034,3.6682758011957484,4.708531043722194
3,Humanoid-v2,10410.324338742224,9342.12589510022,53.64922606801933,2844.410858779453
4,Reacher-v2,-3.7148451504361435,-7.975375754341522,1.7932586844467988,3.912342257233409
5,Walker2d-v2,5536.68536228776,5507.583799539089,54.57713495095869,116.71725560995667
